sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,element,xpath
568,5,A,,cor:Transaction Header Detail XBRL Summary Unit Denominator,,0..1,,This holds the list of measure information for unit denominator. The value must be a list of QName. Each QName must be resolved to be measure information such as iso4217:usd.,cor,cor:Detail_ XBRL,CO11a_LK03_09,/BT30a/BT31a/BT32a/CO11a/CO11a_LK03_09,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.cor:Detail_ XBRL.lnk:Transaction Detail XBRL Summary Unit Denominator,BtxbTran.BtxtHedr.BtxtDetl.CordXbrl.LnktDetlXbrlSummUntDenm,集約ユニット分母,集約のユニットの分母の測定情報のリスト。QNameのリストでなければならない。QNameはiso4217:usdのような、解決される測定情報でなければならない。,cor:transactionHeaderDetailXbrlSummaryUnitDenominator,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/cor:transactionHeaderDetailXbrl/cor:transactionHeaderDetailXbrlSummaryUnitDenominator
569,5,A,,cor:Transaction Header Detail XBRL Summary Reporting Taxonomy ID Reference,,0..1,,"Reference to the ID of the relevant target reporting taxonomy, defined in the [summaryReportingTaxonomies] class at [documentInfo] level. Allows consuming applications to identify sets of [xbrlInfo] classs that point to a specific taxonomy.",cor,cor:Detail_ XBRL,CO11a_LK03_10,/BT30a/BT31a/BT32a/CO11a/CO11a_LK03_10,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.cor:Detail_ XBRL.lnk:Transaction Detail XBRL Summary Reporting Taxonomy ID Reference,BtxbTran.BtxtHedr.BtxtDetl.CordXbrl.LnktDetlXbrlSummReprTaxnIdRefr,集約報告タクソノミ識別子参照情報,関連する報告タクソノミの識別子への参照情報。documentInfo内のsummaryReportingTaxonomiesクラスで定義される。特定のタクソノミを示すxbrlInfoクラスの集合を、アプリケーションが識別できるようにする。,cor:transactionHeaderDetailXbrlSummaryReportingTaxonomyIdReference,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/cor:transactionHeaderDetailXbrl/cor:transactionHeaderDetailXbrlSummaryReportingTaxonomyIdReference
570,4,C,,bus:Transaction Header Detail Measurable,,0..*,,"Parent for information regarding measurable items applied at the transaction detail (line) level. Primary area used for holding performance measures. Based on needs for tracking inventory transactional detail, but suitable for anything assigned to an ""account"", ""reporting bucket"" or ""code"". Can be used to track any movements.",bus,bus:Detail_ Measurable,BU21a,/BT30a/BT31a/BT32a/BU21a,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.bus:Detail_ Measurable,BtxbTran.BtxtHedr.BtxtDetl.BusdMesr,【行計測可能物情報】,明細行に関係付けられた、計測可能物の情報の親タグ。おもにパフォーマンス測定のために使用される。在庫移動の詳細の追跡の必要性に基づき、「科目」、「報告バケット」、「コード」に関係付けられるあらゆるものに適する。あらゆる活動を追跡するために使用可能。,bus:transactionHeaderDetailMeasurable,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/bus:transactionHeaderDetailMeasurable
571,5,A,PK,bus:Transaction Header Detail Measurable Code,,0..1,,"Code for measurable item including BP - Business process, FA - Fixed asset/Capitalized item, IN - Inventory, KPI - Metric, NT - Intangible, SP - Supplies, SV-P - Service by employee, vendor or contractor, SV-M - Service by equipment/machinery, OT - Other",bus,bus:Detail_ Measurable,BU21a_01,/BT30a/BT31a/BT32a/BU21a/BU21a_01,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.bus:Detail_ Measurable.bus:Transaction Detail Measurable Code,BtxbTran.BtxtHedr.BtxtDetl.BusdMesr.BustDetlMesrCod,計測可能物コード,"計測可能物のコード。ビジネスプロセス、固定資産/資産化項目、在庫、測定基準、無形資産、貯蔵品、従業員/提供元/請負者によるサービス、装置/機械によるサービス、その他
[設定値のリスト]
(BP：ビジネスプロセス)、(FA：固定資産/資産化項目)、(IN：在庫)、(KPI：測定基準)、(NT：無形資産)、(SP：貯蔵品)、(SV-P：従業員/提供元/請負者によるサービス)、(SV-M：装置/機械によるサービス)、(OT：その他)",bus:transactionHeaderDetailMeasurableCode,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/bus:transactionHeaderDetailMeasurable/bus:transactionHeaderDetailMeasurableCode
572,5,A,,bus:Transaction Header Detail Measurable Code Description,,0..1,,Free format description of the measurable code,bus,bus:Detail_ Measurable,BU21a_02,/BT30a/BT31a/BT32a/BU21a/BU21a_02,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.bus:Detail_ Measurable.bus:Transaction Detail Measurable Code Description,BtxbTran.BtxtHedr.BtxtDetl.BusdMesr.BustDetlMesrCodDesc,計測可能物コード説明,計測可能物のコードの説明。,bus:transactionHeaderDetailMeasurableCodeDescription,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/bus:transactionHeaderDetailMeasurable/bus:transactionHeaderDetailMeasurableCodeDescription
573,5,A,,bus:Transaction Header Detail Measurable Category,,0..1,,Category of the measurable,bus,bus:Detail_ Measurable,BU21a_03,/BT30a/BT31a/BT32a/BU21a/BU21a_03,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.bus:Detail_ Measurable.bus:Transaction Detail Measurable Category,BtxbTran.BtxtHedr.BtxtDetl.BusdMesr.BustDetlMesrCatg,計測可能物カテゴリ,計測可能物のカテゴリ。,bus:transactionHeaderDetailMeasurableCategory,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/bus:transactionHeaderDetailMeasurable/bus:transactionHeaderDetailMeasurableCategory
574,5,A,,bus:Transaction Header Detail Measurable Identification,,0..1,,Internal inventory part or SKU number or other code identifier for the measurable.,bus,bus:Detail_ Measurable,BU21a_04,/BT30a/BT31a/BT32a/BU21a/BU21a_04,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.bus:Detail_ Measurable.bus:Transaction Detail Measurable Identification,BtxbTran.BtxtHedr.BtxtDetl.BusdMesr.BustDetlMesrIdnn,計測可能物識別子,計測可能物の社内在庫部分またはSKU番号またはその他のコード識別子。,bus:transactionHeaderDetailMeasurableIdentification,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/bus:transactionHeaderDetailMeasurable/bus:transactionHeaderDetailMeasurableIdentification
575,5,A,,bus:Transaction Header Detail Measurable Schema for Identification,,0..1,,URI or other identifier for schema with which measurable ID can be validated,bus,bus:Detail_ Measurable,BU21a_05,/BT30a/BT31a/BT32a/BU21a/BU21a_05,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.bus:Detail_ Measurable.bus:Transaction Detail Measurable Schema for Identification,BtxbTran.BtxtHedr.BtxtDetl.BusdMesr.BustDetlMesrScheIdnn,計測可能物識別子スキーマ,計測可能物のIDを検証するスキーマの、URIまたはその他の識別子。,bus:transactionHeaderDetailMeasurableSchemaForIdentification,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/bus:transactionHeaderDetailMeasurable/bus:transactionHeaderDetailMeasurableSchemaForIdentification
576,5,A,,bus:Transaction Header Detail Measurable Secondary Code,,0..1,,Second identifier (such as vendor's item number),bus,bus:Detail_ Measurable,BU21a_06,/BT30a/BT31a/BT32a/BU21a/BU21a_06,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.bus:Detail_ Measurable.bus:Transaction Detail Measurable Secondary Code,BtxbTran.BtxtHedr.BtxtDetl.BusdMesr.BustDetlMesrSecnCod,計測可能物第二識別子,第二識別子。（例えば、ベンダーでの品目番号）。,bus:transactionHeaderDetailMeasurableSecondaryCode,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/bus:transactionHeaderDetailMeasurable/bus:transactionHeaderDetailMeasurableSecondaryCode
577,5,A,,bus:Transaction Header Detail Measurable Schema for Secondary Identification,,0..1,,URI or other identifier for schema with which measurable ID Other can be validated,bus,bus:Detail_ Measurable,BU21a_07,/BT30a/BT31a/BT32a/BU21a/BU21a_07,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.bus:Detail_ Measurable.bus:Transaction Detail Measurable Schema for Secondary Identification,BtxbTran.BtxtHedr.BtxtDetl.BusdMesr.BustDetlMesrScheSecnIdnn,計測可能物第二識別子スキーマ,計測可能物の第二IDを検証するスキーマの、URIまたはその他の識別子。,bus:transactionHeaderDetailMeasurableSchemaForSecondaryIdentification,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/bus:transactionHeaderDetailMeasurable/bus:transactionHeaderDetailMeasurableSchemaForSecondaryIdentification
578,5,A,,bus:Transaction Header Detail Measurable Description,,0..1,,Text description of measurable (e.g. inventory item or other identifier),bus,bus:Detail_ Measurable,BU21a_08,/BT30a/BT31a/BT32a/BU21a/BU21a_08,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.bus:Detail_ Measurable.bus:Transaction Detail Measurable Description,BtxbTran.BtxtHedr.BtxtDetl.BusdMesr.BustDetlMesrDesc,計測可能物説明,計測可能物の説明。（たとえば、在庫やその他の識別子）,bus:transactionHeaderDetailMeasurableDescription,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/bus:transactionHeaderDetailMeasurable/bus:transactionHeaderDetailMeasurableDescription
579,5,A,,bus:Transaction Header Detail Measurable Quantity,,0..1,,"Number of units in this transaction; for non-monetary calculations; can be square footage, number of people, etc.",bus,bus:Detail_ Measurable,BU21a_09,/BT30a/BT31a/BT32a/BU21a/BU21a_09,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.bus:Detail_ Measurable.bus:Transaction Detail Measurable Quantity,BtxbTran.BtxtHedr.BtxtDetl.BusdMesr.BustDetlMesrQunt,数量,この取引における、単位数量。金額計算用ではない。平方フィート、人数など。,bus:transactionHeaderDetailMeasurableQuantity,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/bus:transactionHeaderDetailMeasurable/bus:transactionHeaderDetailMeasurableQuantity
580,5,A,,bus:Transaction Header Detail Measurable Qualifier,,0..1,,"Field that can represent grading, inspection codes, ratings and other qualifiers to properly capture PKI/Balanced Scorecard information",bus,bus:Detail_ Measurable,BU21a_10,/BT30a/BT31a/BT32a/BU21a/BU21a_10,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.bus:Detail_ Measurable.bus:Transaction Detail Measurable Qualifier,BtxbTran.BtxtHedr.BtxtDetl.BusdMesr.BustDetlMesrQulf,修飾子,PKI又はバランススコアカード情報を適正に把握するための、等級付け、検査コード、格付けその他の修飾子を示す。,bus:transactionHeaderDetailMeasurableQualifier,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/bus:transactionHeaderDetailMeasurable/bus:transactionHeaderDetailMeasurableQualifier
581,5,A,,bus:Transaction Header Detail Measurable Unit of Measure,,0..1,,"Description of unit: e.g. each, case, dozen, etc. ISO standard coding recommended.",bus,bus:Detail_ Measurable,BU21a_11,/BT30a/BT31a/BT32a/BU21a/BU21a_11,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.bus:Detail_ Measurable.bus:Transaction Detail Measurable Unit of Measure,BtxbTran.BtxtHedr.BtxtDetl.BusdMesr.BustDetlMesrUntMesr,計量単位,単位の説明。たとえば、個、箱、ダースなど。ISO標準のコードを推奨。,bus:transactionHeaderDetailMeasurableUnitOfMeasure,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/bus:transactionHeaderDetailMeasurable/bus:transactionHeaderDetailMeasurableUnitOfMeasure
582,5,A,,bus:Transaction Header Detail Measurable Per Unit Cost/Price,,0..1,,"Per unit price of the measurable. Although one might expect that measurableQuantity * measurableCostPerUnit = amount, this is not mandated except by external rules sets.",bus,bus:Detail_ Measurable,BU21a_12,/BT30a/BT31a/BT32a/BU21a/BU21a_12,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.bus:Detail_ Measurable.bus:Transaction Detail Measurable Per Unit Cost/Price,BtxbTran.BtxtHedr.BtxtDetl.BusdMesr.BustDetlMesrPerUntCost,単価,"計測可能物の単価。
measurableQuantity * measurableCostPerUnit = amountであることを期待するかもしれないが、外部規則がなければ必須ではない。",bus:transactionHeaderDetailMeasurablePerUnitCost/Price,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/bus:transactionHeaderDetailMeasurable/bus:transactionHeaderDetailMeasurablePerUnitCost/Price
583,5,A,,bus:Transaction Header Detail Measurable Start Time,,0..1,,Start time of the duration being measured,bus,bus:Detail_ Measurable,BU21a_13,/BT30a/BT31a/BT32a/BU21a/BU21a_13,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.bus:Detail_ Measurable.bus:Transaction Detail Measurable Start Time,BtxbTran.BtxtHedr.BtxtDetl.BusdMesr.BustDetlMesrStarTim,開始日時,計量期間の開始時刻。,bus:transactionHeaderDetailMeasurableStartTime,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/bus:transactionHeaderDetailMeasurable/bus:transactionHeaderDetailMeasurableStartTime
584,5,A,,bus:Transaction Header Detail Measurable End Time,,0..1,,End time of the duration being measured,bus,bus:Detail_ Measurable,BU21a_14,/BT30a/BT31a/BT32a/BU21a/BU21a_14,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.bus:Detail_ Measurable.bus:Transaction Detail Measurable End Time,BtxbTran.BtxtHedr.BtxtDetl.BusdMesr.BustDetlMesrEndTim,終了日時,計量期間の終了時刻。,bus:transactionHeaderDetailMeasurableEndTime,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/bus:transactionHeaderDetailMeasurable/bus:transactionHeaderDetailMeasurableEndTime
585,5,A,,bus:Transaction Header Detail Measurable Active,,0..1,,"Boolean to indicate whether the measurable is active (=""true"") or inactive (=""false"")",bus,bus:Detail_ Measurable,BU21a_15,/BT30a/BT31a/BT32a/BU21a/BU21a_15,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.bus:Detail_ Measurable.bus:Transaction Detail Measurable Active,BtxbTran.BtxtHedr.BtxtDetl.BusdMesr.BustDetlMesrActv,計測可能物有効性,計測可能物が有効か無効かを示すブール値。,bus:transactionHeaderDetailMeasurableActive,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/bus:transactionHeaderDetailMeasurable/bus:transactionHeaderDetailMeasurableActive
586,4,C,,bus:Transaction Header Detail Job,,0..*,,"Class for holding job related information applied at the transaction detail (line) level, separate from jobs represented in account identifier. Would probably only have one jobinfo class for each entry line, but there may be a need to express more than one.",bus,bus:Detail_ Job,BU23a,/BT30a/BT31a/BT32a/BU23a,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.bus:Detail_ Job,BtxbTran.BtxtHedr.BtxtDetl.BusdJob,【行ジョブ情報】,科目識別子で表現されるジョブとは別の、ジョブに関係する情報のクラス。個々の明細行に対してひとつだけ存在すると思われるが、複数必要かもしれない。,bus:transactionHeaderDetailJob,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/bus:transactionHeaderDetailJob
587,5,A,PK,bus:Transaction Header Detail Job ID,,0..1,,"Associated job number or code. This could be built into the account, but many systems maintain a separate job coding system. Use primarily if job identification is a separate system, and not considered part of the chart of accounts.",bus,bus:Detail_ Job,BU23a_UK02_01,/BT30a/BT31a/BT32a/BU23a/BU23a_UK02_01,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.bus:Detail_ Job.usk:Transaction Detail Job ID,BtxbTran.BtxtHedr.BtxtDetl.BusdJob.UsknDetlJobId,ジョブ識別子,関連するジョブ番号かジョブコード。 科目に組み込めるかもしれないが、多くのシステムでは独立したジョブコードシステムを持っている。おもに、ジョブの識別が別システムであり、科目体系に含まれないときに使用される。,bus:transactionHeaderDetailJobId,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/bus:transactionHeaderDetailJob/bus:transactionHeaderDetailJobId
588,5,A,,bus:Transaction Header Detail Job Description,,0..1,,Description of job,bus,bus:Detail_ Job,BU23a_UK02_02,/BT30a/BT31a/BT32a/BU23a/BU23a_UK02_02,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.bus:Detail_ Job.usk:Transaction Detail Job Description,BtxbTran.BtxtHedr.BtxtDetl.BusdJob.UsknDetlJobDesc,ジョブ説明,ジョブの説明。,bus:transactionHeaderDetailJobDescription,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/bus:transactionHeaderDetailJob/bus:transactionHeaderDetailJobDescription
589,5,A,,bus:Transaction Header Detail Job Phase,,0..1,,"Job code, phase, activity. Allows greater granularity than a simple job number. Although the core only reaches down from job to phases, this can be customized to extend down to cost codes.",bus,bus:Detail_ Job,BU23a_UK02_03,/BT30a/BT31a/BT32a/BU23a/BU23a_UK02_03,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.bus:Detail_ Job.usk:Transaction Detail Job Phase,BtxbTran.BtxtHedr.BtxtDetl.BusdJob.UsknDetlJobPhas,ジョブフェーズ,ジョブコード、フェーズ、活動。 簡単なジョブ番号より詳細な定義が可能。基本的には、ジョブからフェーズを導くのみだが、コストコードにまでいたるように拡張可能。,bus:transactionHeaderDetailJobPhase,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/bus:transactionHeaderDetailJob/bus:transactionHeaderDetailJobPhase
590,5,A,,bus:Transaction Header Detail Job Phase Description,,0..1,,"Description of Job code, phase, activity",bus,bus:Detail_ Job,BU23a_UK02_04,/BT30a/BT31a/BT32a/BU23a/BU23a_UK02_04,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.bus:Detail_ Job.usk:Transaction Detail Job Phase Description,BtxbTran.BtxtHedr.BtxtDetl.BusdJob.UsknDetlJobPhasDesc,ジョブフェーズ説明,ジョブコード、フェーズ、活動の説明。,bus:transactionHeaderDetailJobPhaseDescription,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/bus:transactionHeaderDetailJob/bus:transactionHeaderDetailJobPhaseDescription
591,5,A,,bus:Transaction Header Detail Job Active,,0..1,,"Boolean to indicate whether the job is active (=""true"") or inactive (=""false"")",bus,bus:Detail_ Job,BU23a_UK02_05,/BT30a/BT31a/BT32a/BU23a/BU23a_UK02_05,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.bus:Detail_ Job.usk:Transaction Detail Job Active,BtxbTran.BtxtHedr.BtxtDetl.BusdJob.UsknDetlJobActv,ジョブ有効性,ジョブが有効か無効かを示すブール値。,bus:transactionHeaderDetailJobActive,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/bus:transactionHeaderDetailJob/bus:transactionHeaderDetailJobActive
592,4,C,,bus:Transaction Header Detail Depreciation Mortgage,,0..*,,"Parent for information related to depreciation, mortgages, etc.　applied at the transaction detail (line) level.",bus,bus:Detail_ Depreciation Mortgage,BU25a,/BT30a/BT31a/BT32a/BU25a,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.bus:Detail_ Depreciation Mortgage,BtxbTran.BtxtHedr.BtxtDetl.BusdDeprMort,【行減価償却/抵当債務情報】,減価償却、抵当債務等に関連する情報の親タグ。,bus:transactionHeaderDetailDepreciationMortgage,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/bus:transactionHeaderDetailDepreciationMortgage
593,5,A,,bus:Transaction Header Detail Depreciation Mortgage Jurisdiction,,0..1,,"Jurisdiction (e.g. federal, state, local): e.g. US Federal, Province of Québec, other identifier. Enumerated as: F, federal, S, state, L, local, other.",bus,bus:Detail_ Depreciation Mortgage,BU25a_01,/BT30a/BT31a/BT32a/BU25a/BU25a_01,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.bus:Detail_ Depreciation Mortgage.bus:Transaction Detail Depreciation Mortgage Jurisdiction,BtxbTran.BtxtHedr.BtxtDetl.BusdDeprMort.BustDetlDeprMortJurs,抵当債務管轄,"管轄地区。（連邦、州、ローカル、等）。たとえば、米国連邦政府、ケベック州、その他の識別子。
[設定値のリスト]
(F)、(federal：連邦)、(S)、(state：州)、(L)、(local：地域)、(other：その他)",bus:transactionHeaderDetailDepreciationMortgageJurisdiction,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/bus:transactionHeaderDetailDepreciationMortgage/bus:transactionHeaderDetailDepreciationMortgageJurisdiction
594,5,A,,bus:Transaction Header Detail Depreciation Mortgage Method,,0..1,,"Type of depreciation method: used for information about the loan percentage for loan or the depreciation method. This is used for informational purposes only. Examples of entries are ""20%"", ""5 year DDB"" (Double Declining Balance).",bus,bus:Detail_ Depreciation Mortgage,BU25a_02,/BT30a/BT31a/BT32a/BU25a/BU25a_02,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.bus:Detail_ Depreciation Mortgage.bus:Transaction Detail Depreciation Mortgage Method,BtxbTran.BtxtHedr.BtxtDetl.BusdDeprMort.BustDetlDeprMortMeth,減価償却方法,減価償却方法のタイプ。ローンのパーセンテージや減価償却方法に関する情報を含む。単なる情報提供を目的とする。たとえば、20%、5年、DDB(倍額定率)。,bus:transactionHeaderDetailDepreciationMortgageMethod,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/bus:transactionHeaderDetailDepreciationMortgage/bus:transactionHeaderDetailDepreciationMortgageMethod
595,5,A,,bus:Transaction Header Detail Depreciation Mortgage Life,,0..1,,Length of life in number of periods.,bus,bus:Detail_ Depreciation Mortgage,BU25a_03,/BT30a/BT31a/BT32a/BU25a/BU25a_03,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.bus:Detail_ Depreciation Mortgage.bus:Transaction Detail Depreciation Mortgage Life,BtxbTran.BtxtHedr.BtxtDetl.BusdDeprMort.BustDetlDeprMortLif,抵当債務期間,存在する期間数。,bus:transactionHeaderDetailDepreciationMortgageLife,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/bus:transactionHeaderDetailDepreciationMortgage/bus:transactionHeaderDetailDepreciationMortgageLife
596,5,A,,bus:Transaction Header Detail Depreciation Mortgage Description,,0..1,,"Description of each item related to depreciation, mortgage, loan, credit facility, etc.",bus,bus:Detail_ Depreciation Mortgage,BU25a_04,/BT30a/BT31a/BT32a/BU25a/BU25a_04,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.bus:Detail_ Depreciation Mortgage.bus:Transaction Detail Depreciation Mortgage Description,BtxbTran.BtxtHedr.BtxtDetl.BusdDeprMort.BustDetlDeprMortDesc,債務説明,減価償却や債権債務、ローン、信用供与等に関する項目の説明。,bus:transactionHeaderDetailDepreciationMortgageDescription,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/bus:transactionHeaderDetailDepreciationMortgage/bus:transactionHeaderDetailDepreciationMortgageDescription
597,5,A,,bus:Transaction Header Detail Depreciation Mortgage Start Date,,0..1,,"Start of the applicable period of each item related to depreciation, mortgage, loan, credit facility, etc.",bus,bus:Detail_ Depreciation Mortgage,BU25a_05,/BT30a/BT31a/BT32a/BU25a/BU25a_05,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.bus:Detail_ Depreciation Mortgage.bus:Transaction Detail Depreciation Mortgage Start Date,BtxbTran.BtxtHedr.BtxtDetl.BusdDeprMort.BustDetlDeprMortStarDat,開始日付,減価償却や債権債務、ローン、信用供与等に関する項目の、適用期間の開始日。,bus:transactionHeaderDetailDepreciationMortgageStartDate,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/bus:transactionHeaderDetailDepreciationMortgage/bus:transactionHeaderDetailDepreciationMortgageStartDate
598,5,A,,bus:Transaction Header Detail Depreciation Mortgage End Date,,0..1,,"End of the applicable period of each item related to depreciation, mortgage, loan, credit facility, etc.",bus,bus:Detail_ Depreciation Mortgage,BU25a_06,/BT30a/BT31a/BT32a/BU25a/BU25a_06,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.bus:Detail_ Depreciation Mortgage.bus:Transaction Detail Depreciation Mortgage End Date,BtxbTran.BtxtHedr.BtxtDetl.BusdDeprMort.BustDetlDeprMortEndDat,終了日付,減価償却や債権債務、ローン、信用供与等に関する項目の、適用期間の終了日。,bus:transactionHeaderDetailDepreciationMortgageEndDate,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/bus:transactionHeaderDetailDepreciationMortgage/bus:transactionHeaderDetailDepreciationMortgageEndDate
599,5,A,,bus:Transaction Header Detail Depreciation Mortgage Amount,,0..1,,"Amount of a cost or fee charged for a mortgage, loan, credit facility, etc.",bus,bus:Detail_ Depreciation Mortgage,BU25a_07,/BT30a/BT31a/BT32a/BU25a/BU25a_07,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.bus:Detail_ Depreciation Mortgage.bus:Transaction Detail Depreciation Mortgage Amount,BtxbTran.BtxtHedr.BtxtDetl.BusdDeprMort.BustDetlDeprMortAmnt,手数料,減価償却や債権債務、ローン、信用供与等で請求されるコストや手数料。,bus:transactionHeaderDetailDepreciationMortgageAmount,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/bus:transactionHeaderDetailDepreciationMortgage/bus:transactionHeaderDetailDepreciationMortgageAmount
600,4,C,,ehm:Transaction Header Detail Serial or Lot,,0..*,,"Class for holding information about serial numbers or lots (batches) applied at the transaction detail (line) level. As a class, this permits multiple serial numbers or multiple lot number batches within a single gl-cor:measurable class.",ehm,ehm:Detail_ Serial or Lot,EH02a,/BT30a/BT31a/BT32a/EH02a,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.ehm:Detail_ Serial or Lot,BtxbTran.BtxtHedr.BtxtDetl.EhmlSerlOrLot,【行シリアル番号・ロット情報】,シリアル番号やロット（バッチ）に関する情報を保持するクラス。単一の構造内に複数のシリアル番号やロット情報を保持可能。,ehm:transactionHeaderDetailSerialOrLot,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/ehm:transactionHeaderDetailSerialOrLot
601,5,A,PK,ehm:Transaction Header Detail Serial or Lot Code,,0..1,,"Is this item tracked by serial numbers or lot numbers? A serial number is usually a unique number assigned to a single; a lot or batch number is provided when a batch of items is fungible but must be differentiated from similar items from other batches. Enumerated indicator for serial or lot items. Enumeration are: serial, lot, other, neither. If not included within the class, neither is assumed.",ehm,ehm:Detail_ Serial or Lot,EH02a_01,/BT30a/BT31a/BT32a/EH02a/EH02a_01,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.ehm:Detail_ Serial or Lot.ehm:Transaction Detail Serial or Lot Code,BtxbTran.BtxtHedr.BtxtDetl.EhmlSerlOrLot.EhmnDetlSerlOrLotCod,シリアル・ロット識別コード,この項目はシリアル番号またはロット番号で管理されているか？シリアル番号は一意に付番されたもので、ロット番号は同一バッチの区別を目的に使用される。,ehm:transactionHeaderDetailSerialOrLotCode,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/ehm:transactionHeaderDetailSerialOrLot/ehm:transactionHeaderDetailSerialOrLotCode
