name,B,category,seq,account_name,amount,type,level,Ledger_Account_Number,English_Label
　　　　　　　減価償却累計額,0,有形固定資産,,減価償却累計額,,1,7,10A210040,Accumulated depreciation
　　　　　　　減損損失累計額,0,有形固定資産,,減損損失累計額,,1,7,10A210050,Accumulated impairment loss
　　　　　　　減価償却累計額及び減損損失累計額,0,有形固定資産,,減価償却累計額及び減損損失累計額,,1,7,10A210060,Accumulated depreciation and impairment loss
　　　　　　　建物（純額）,0,有形固定資産,,建物（純額）,,1,7,10A210070,"Buildings, net"
　　　　　　建物附属設備,0,有形固定資産,,建物附属設備,,1,6,10A210080,Facilities attached to buildings
　　　　　　　減価償却累計額,0,有形固定資産,,減価償却累計額,,1,7,10A210090,Accumulated depreciation
　　　　　　　減損損失累計額,0,有形固定資産,,減損損失累計額,,1,7,10A210100,Accumulated impairment loss
　　　　　　　減価償却累計額及び減損損失累計額,0,有形固定資産,,減価償却累計額及び減損損失累計額,,1,7,10A210110,Accumulated depreciation and impairment loss
　　　　　　　建物附属設備（純額）,0,有形固定資産,,建物附属設備（純額）,,1,7,10A210120,"Facilities attached to buildings, net"
　　　　　構築物,0,有形固定資産,,構築物,,1,5,10A210130,Structures
